,Label,Correlation Coefficient
0,CG_L_7_1,0.7246229250259556
1,CG_R_7_1,0.6860654501659832
2,CG_L_7_2,0.8410667263009781
3,CG_R_7_2,0.7844068391546227
4,CG_L_7_3,0.7633926665881181
5,CG_R_7_3,0.7231045552814158
6,CG_L_7_4,0.7430284102660862
7,CG_R_7_4,0.7722389286517312
8,CG_L_7_5,0.58362339719284
9,CG_R_7_5,0.7739982620130871
10,CG_L_7_6,0.6667257131052919
11,CG_R_7_6,0.8540728953808265
12,CG_L_7_7,0.7811380331992381
13,CG_R_7_7,0.7393464378319449
14,Tha_L,0.710461095944242
15,Hipp_L,0.7267521601211142
16,Amyg_L,0.7315140483055621
17,Accum_L,0.8146453736733301
18,Tha_R,0.6062311219259526
19,Hipp_R,0.7961294387538583
20,Amyg_R,0.28904784751728296
21,Accum_R,0.4652491407835234
