,Degree,Strength,Betweenness,Cluster,Efficiency
CG_L_7_1,0.7914044881139448,-2.165153189697949,-0.9214068663579588,0.7971758415084271,1.1875066173340239
CG_R_7_1,0.6704726659541068,-1.0787321822361144,-1.2993333887969658,2.1740934999726353,2.3584741394200686
CG_L_7_2,2.8497708111362887,-1.1219628363995746,-0.5452246835090637,2.635734907694103,2.1094220556810552
CG_R_7_2,-1.4574170120604863,-1.7505692607076782,-0.553675847546366,2.3974288495598084,2.366702772850659
CG_L_7_3,-2.173287283195608,1.5057151372421727,-2.83021672105953,5.920056582677945,5.575898745431865
CG_R_7_3,0.26010593122856285,-0.3983976827714646,0.36199116444501417,1.5228971163112177,1.6982069413743703
CG_L_7_4,0.04482363834678705,-2.1542013283048913,0.9812016909903561,1.0093249372534112,1.5075709781389546
CG_R_7_4,0.28838908642497185,-0.4155280843360831,1.0875470350263314,0.31532251663640193,0.21866906321226012
CG_L_7_5,0.6358508737310322,-0.4076523596085927,0.17149892223744406,0.9180166883416582,0.9025982344496222
CG_R_7_5,1.517818807191069,-0.15078216083974294,-0.5001293030100461,0.33177114013882264,0.2887577174040889
CG_L_7_6,-2.1615543294771453,-2.583857351711785,-4.129057402234221,3.525985895130963,4.163120165169267
CG_R_7_6,1.161315363920365,-1.2508565186131833,0.05475556019281879,2.2671842891362424,1.855959992694334
CG_L_7_7,0.17556234400771825,-1.192731895261743,-0.143619106757131,2.3783963540790944,2.4670403379386037
CG_R_7_7,-1.231799731829859,-0.7740150924342126,-4.3842131731368275,-0.9898101655205284,-0.4294442801165064
Tha_L,-0.5707992725905783,-2.5966120484880513,-0.6364276243133048,2.6357583951986325,2.875018836787076
Hipp_L,-0.017489200653810075,-0.9217971020331903,1.3992032306312014,0.5123251116715619,0.4559205903544765
Amyg_L,0.01885244220788663,-2.5272939090389914,1.9338210440633168,0.8452371595697548,0.597440458413382
Accum_L,0.0,0.49719420496427236,-3.7482483884315987,5.406739579854949,5.068058439346128
Tha_R,0.6116814446726097,-0.7365233166353924,0.3038522364607135,0.8295761090952951,0.7963261823854679
Hipp_R,0.08933133734457444,0.44906002173219306,-0.15498202951000747,1.3135758788530782,1.4021260956336685
Amyg_R,-0.4277945706655754,-0.687707605697498,0.0,-1.3738295857601295,-1.3738295857601295
Accum_R,-0.04726315653970412,-0.10852193652852571,0.7286661521129898,1.1412775362548255,1.106404789831781
